ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType
NSEFO,54733,2,MIDCPNIFTY,MIDCPNIFTY2460311425CE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054733,236.7,23.7,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,11425,3
NSEFO,41024,2,MIDCPNIFTY,MIDCPNIFTY24JUN7700PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600041024,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,7700,4
NSEFO,48875,2,MIDCPNIFTY,MIDCPNIFTY2451311300CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048875,126.8,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,11300,3
NSEFO,36256,2,MIDCPNIFTY,MIDCPNIFTY245069775CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036256,1622.85,958.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,9775,3
NSEFO,37135,2,MIDCPNIFTY,MIDCPNIFTY24JUN13700PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600037135,2831.95,2169.35,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,13700,4
NSEFO,36503,2,MIDCPNIFTY,MIDCPNIFTY2450610650PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036503,3.65,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,10650,4
NSEFO,48777,2,MIDCPNIFTY,MIDCPNIFTY2451310450CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048777,964.15,312.35,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,10450,3
NSEFO,36483,2,MIDCPNIFTY,MIDCPNIFTY2450610600CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036483,802.45,138.45,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,10600,3
NSEFO,39098,2,MIDCPNIFTY,MIDCPNIFTY24MAY9750CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800039098,1690.8,1028.4,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,9750,3
NSEFO,39224,2,MIDCPNIFTY,MIDCPNIFTY24JUL10725CE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039224,953.95,479.35,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10725,3
NSEFO,48672,2,MIDCPNIFTY,MIDCPNIFTY245139675PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048672,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,9675,4
NSEFO,55662,2,MIDCPNIFTY,MIDCPNIFTY24MAY11575CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055662,129.25,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,11575,3
NSEFO,39379,2,MIDCPNIFTY,MIDCPNIFTY24JUL11350CE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039379,529.3,209.7,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,11350,3
NSEFO,36407,2,MIDCPNIFTY,MIDCPNIFTY2450610350PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036407,3.2,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,10350,4
NSEFO,52906,2,MIDCPNIFTY,MIDCPNIFTY2451711925CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052906,8.85,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,11925,3
NSEFO,48212,2,MIDCPNIFTY,MIDCPNIFTY24JUN11950CE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600048212,134.75,14.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,11950,3
NSEFO,55626,2,MIDCPNIFTY,MIDCPNIFTY24MAY11125CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055626,377.1,46.0,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,11125,3
NSEFO,52841,2,MIDCPNIFTY,MIDCPNIFTY2451711325PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052841,546.6,67.1,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,11325,4
NSEFO,39523,2,MIDCPNIFTY,MIDCPNIFTY24JUL12525PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039523,1604.5,1028.3,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,12525,4
NSEFO,46696,2,MIDCPNIFTY,MIDCPNIFTY24JUN11050PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600046696,397.1,116.1,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,11050,4
NSEFO,42187,2,MIDCPNIFTY,MIDCPNIFTY24JUN8400CE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600042187,3079.35,2415.35,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,8400,3
NSEFO,48965,2,MIDCPNIFTY,MIDCPNIFTY2451312100CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048965,4.6,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,12100,3
NSEFO,52885,2,MIDCPNIFTY,MIDCPNIFTY2451711775PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052885,1007.15,371.75,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,11775,4
NSEFO,48667,2,MIDCPNIFTY,MIDCPNIFTY245139625CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400048667,1785.8,1121.8,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,9625,3
NSEFO,36212,2,MIDCPNIFTY,MIDCPNIFTY245069675PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036212,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,9675,4
NSEFO,36129,2,MIDCPNIFTY,MIDCPNIFTY245069250CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036129,2151.3,1487.3,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,9250,3
NSEFO,39236,2,MIDCPNIFTY,MIDCPNIFTY24JUL10825PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039236,332.65,119.85,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,10825,4
NSEFO,55693,2,MIDCPNIFTY,MIDCPNIFTY24MAY11950PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055693,1160.7,538.6,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,11950,4
NSEFO,46766,2,MIDCPNIFTY,MIDCPNIFTY2451710325CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800046766,1096.85,445.25,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,10325,3
NSEFO,36117,2,MIDCPNIFTY,MIDCPNIFTY245069225PE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036117,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,9225,4
NSEFO,39359,2,MIDCPNIFTY,MIDCPNIFTY24MAY9950PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800039359,5.15,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,9950,4
NSEFO,54742,2,MIDCPNIFTY,MIDCPNIFTY2460311525PE,OPTIDX,MIDCPNIFTY-OPTIDX,2415500054742,735.95,248.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-03T14:30:00,11525,4
NSEFO,39378,2,MIDCPNIFTY,MIDCPNIFTY24JUL11325PE,OPTIDX,MIDCPNIFTY-OPTIDX,2421100039378,615.9,277.8,4201.0,0.05,50,1,-1,NIFTY MID SELECT,2024-07-29T14:30:00,11325,4
NSEFO,55572,2,MIDCPNIFTY,MIDCPNIFTY24MAY10500CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800055572,940.15,348.85,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,10500,3
NSEFO,38088,2,MIDCPNIFTY,MIDCPNIFTY24MAY9600PE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800038088,3.2,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,9600,4
NSEFO,39101,2,MIDCPNIFTY,MIDCPNIFTY24MAY9775CE,OPTIDX,MIDCPNIFTY-OPTIDX,2414800039101,1665.8,1003.8,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-27T14:30:00,9775,3
NSEFO,38057,2,MIDCPNIFTY,MIDCPNIFTY24JUN12275CE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600038057,68.1,3.0,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,12275,3
NSEFO,36818,2,MIDCPNIFTY,MIDCPNIFTY2450611775CE,OPTIDX,MIDCPNIFTY-OPTIDX,2412700036818,3.35,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-06T14:30:00,11775,3
NSEFO,52909,2,MIDCPNIFTY,MIDCPNIFTY2451711950PE,OPTIDX,MIDCPNIFTY-OPTIDX,2413800052909,1187.4,534.0,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-17T14:30:00,11950,4
NSEFO,49043,2,MIDCPNIFTY,MIDCPNIFTY2451313800CE,OPTIDX,MIDCPNIFTY-OPTIDX,2413400049043,3.05,0.05,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-05-13T14:30:00,13800,3
NSEFO,63945,2,MIDCPNIFTY,MIDCPNIFTY24JUN12025PE,OPTIDX,MIDCPNIFTY-OPTIDX,2417600063945,1184.75,625.75,4201.0,0.05,75,1,-1,NIFTY MID SELECT,2024-06-24T14:30:00,12025,4
